,
{ "UtcTime": "2024-11-07T12:43:07.655Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_1"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_2"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"InputToken": "Input_1"},"Data":{"LogicalState": "false"}},
{ "UtcTime": "2024-11-07T12:50:12.365Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:50:13.397Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:14.432Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:50:17.562Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:50:18.587Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:19.641Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:20.700Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:21.762Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:50:22.763Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:25.763Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:27.833Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:28.897Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:29.899Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:31.957Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:50:32.962Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:34.025Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:50:35.184Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:38.160Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:39.165Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:40.232Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:41.298Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:50:42.302Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:43.364Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:50:45.433Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:46.434Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:47.458Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:48.500Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:49.561Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:50:50.579Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:52.033Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:50:53.097Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:54.101Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:55.163Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:56.629Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:50:57.642Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:50:58.701Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:50:59.760Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:00.765Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:51:01.824Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:02.833Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:03.901Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:51:04.964Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:05.964Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:51:08.233Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:09.234Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:11.304Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:12.316Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:51:13.366Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:15.496Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:17.522Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:51:18.579Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:19.573Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:20.631Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:21.696Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:51:22.699Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:24.760Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:51:26.702Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:28.895Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:30.896Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:32.452Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:33.507Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:35.627Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:36.641Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:37.657Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:51:38.698Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:39.874Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:40.729Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:51:41.767Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:42.827Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:51:43.900Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:44.966Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:51:46.031Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:49.160Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:50.191Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:51.254Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:51:52.304Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:51:53.359Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:51:54.367Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:51:55.430Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:51:56.505Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:51:57.562Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:51:58.629Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:51:59.632Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:00.637Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:01.694Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:52:03.437Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:04.504Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:05.562Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:52:06.595Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:07.656Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:08.721Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:52:10.833Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:12.056Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:52:13.365Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:14.426Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:15.427Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:18.092Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:52:19.093Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:20.102Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:22.160Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:23.161Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:25.233Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "1"}},
{ "UtcTime": "2024-11-07T12:52:26.656Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:27.295Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:52:29.309Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:52:30.366Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:43:07.655Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_1"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"RelayToken": "Output_2"},"Data":{"LogicalState": "inactive"}},
{ "UtcTime": "2024-11-07T12:27:13.488Z","Source":{"InputToken": "Input_1"},"Data":{"LogicalState": "false"}},
{ "UtcTime": "2024-11-07T12:39:08.932Z","Source":{"VideoSource": "1","Rule": "Occupancy 3"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:38.769Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:41:26.675Z","Source":{"VideoSource": "1","Rule": "Object in field 1"},"Data":{"IsInside": "true"}},
{ "UtcTime": "2024-11-07T12:41:26.675Z","Source":{"Source": "1"},"Data":{"State": "true"}},
{ "UtcTime": "2024-11-07T12:43:07.655Z","Source":{"Source": "1"},"Data":{"State": "false"}},
{ "UtcTime": "2024-11-07T12:52:39.948Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:52:40.893Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:52:41.897Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:52:43.959Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:44.962Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:45.963Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:52:46.963Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:48.026Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:52:49.027Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:50.033Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:51.112Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:52.166Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:52:53.194Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "4"}},
{ "UtcTime": "2024-11-07T12:52:55.249Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:56.264Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:52:57.897Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:52:58.960Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:52:59.961Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:53:01.023Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "8"}},
{ "UtcTime": "2024-11-07T12:53:02.033Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:53:03.092Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:04.093Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:05.155Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "7"}},
{ "UtcTime": "2024-11-07T12:53:06.172Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:07.359Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "6"}},
{ "UtcTime": "2024-11-07T12:53:09.429Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "5"}},
{ "UtcTime": "2024-11-07T12:53:10.500Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:53:11.502Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:53:12.566Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
{ "UtcTime": "2024-11-07T12:53:14.643Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "2"}},
{ "UtcTime": "2024-11-07T12:53:15.702Z","Source":{"VideoSource": "1","Rule": "Occupancy 1"},"Data":{"Count": "3"}},
